ASEAN,   ***   ,ASEAN  Association of Southeast Asian Nations,,,,
księgowość kosztów środowiskowych,   ***   ,ecological bookkeeping,,,,
księżyc,   ***   ,moon  moon  satelite  satelite,,,,
ksylofon,   ***   ,xylophone,,,,
kultura,   ***   ,culture,,,,
kupiec,   ***   ,merchant,,,,
kupić,   ***   ,buy  purchase,,,,
kurowate,   ***   ,gallinacean,,,,
kuśnierstwo,   ***   ,furriery,,,,
kwasowość,   ***   ,acidity,,,,
kwasy,   ***   ,acid,,,,
kwiat,   ***   ,flower  bloom  blossom,,,,
kwiecień,   ***   ,April,,,,
kładnia,   ***   ,syntax,,,,
laboratorium,   ***   ,laboratory,,,,
laguna,   ***   ,lagoon,,,,
lakier,   ***   ,lacquer,,,,
lantan,   ***   ,lanthanum,,,,
laotański,   ***   ,Lao  Lao,,,,
las,   ***   ,forest,,,,
las,   ***   ,wood,,,,
las śródziemnomorski,   ***   ,Mediterranean forest,,,,
laser,   ***   ,laser  Light Amplification by Stimulated Emission of Radiation,,,,
latarnia,   ***   ,lantern,,,,
lawenda,   ***   ,lavender  lavander,,,,
lawina,   ***   ,avalanche,,,,
lawina śnieżna,   ***   ,snowslide,,,,
lecznictwo,   ***   ,medicine  medicine (practice),,,,
lekarstwo,   ***   ,drug,,,,
leksykon,   ***   ,lexicon,,,,
lepkość,   ***   ,viscosity,,,,
lepszy,   ***   ,better,,,,
letarg,   ***   ,lethargy  sluggishness  languor,,,,
lew,   ***   ,lion,,,,
leśnictwo,   ***   ,forestry,,,,
liberalizm,   ***   ,liberalism,,,,
lido,   ***   ,barrier beach,,,,
limburgijski,   ***   ,Limburgish  Limburgian,,,,
limnologia,   ***   ,limnology,,,,
linia,   ***   ,line,,,,
lipid,   ***   ,lipid,,,,
listonosz,   ***   ,postman,,,,
lit,   ***   ,lithium,,,,
litera,   ***   ,letter,,,,
literatura,   ***   ,literature,,,,
litewski,   ***   ,Lithuanian  Lithuanian,,,,
litosfera,   ***   ,lithosphere,,,,
liść,   ***   ,leaf,,,,
lodowiec,   ***   ,glacier,,,,
lody,   ***   ,ice cream,,,,
lodówka,   ***   ,refrigerator  fridge,,,,
lokomotywa,   ***   ,locomotive,,,,
lorens,   ***   ,lawrencium,,,,
loteria,   ***   ,lottery,,,,
lotnisko,   ***   ,airport,,,,
lotność,   ***   ,volatility,,,,
ludność,   ***   ,human population,,,,
ludność koczownicza,   ***   ,nomad,,,,
ludobójstwo,   ***   ,genocide,,,,
luks,   ***   ,lux,,,,
luksemburski,   ***   ,Luxembourgish  Luxemburgish  Luxembourgian,,,,
lutet,   ***   ,lutetium,,,,
luty,   ***   ,February,,,,
lód,   ***   ,ice,,,,
ląd,   ***   ,land,,,,
macedoński,   ***   ,Macedonian  Macedonian,,,,
magnetyzm,   ***   ,magnetism,,,,
magnez,   ***   ,magnesium,,,,
maj,   ***   ,May,,,,
majonez,   ***   ,mayonnaise,,,,
makia,   ***   ,maquis,,,,
makrela,   ***   ,mackerel,,,,
makroekonomia,   ***   ,macroeconomics,,,,
makrofit,   ***   ,macrophyte,,,,
malaria,   ***   ,malaria,,,,
malarnia,   ***   ,paint room,,,,
maltański,   ***   ,Maltese,,,,
mandat,   ***   ,mandate,,,,
mangan,   ***   ,manganese,,,,
maoryski,   ***   ,Maori,,,,
mapa,   ***   ,map,,,,
marker,   ***   ,marker,,,,
marketing,   ***   ,marketing,,,,
marmur,   ***   ,marble,,,,
marzec,   ***   ,March,,,,
masa,   ***   ,mass,,,,
maszyna,   ***   ,machinery  mechanism,,,,
masło,   ***   ,butter,,,,
matematyka,   ***   ,mathematics,,,,
materiał,   ***   ,material  materials,,,,
materiał alternatywny,   ***   ,alternative material,,,,
materiał budowlany,   ***   ,building material,,,,
materiał elektroniczny,   ***   ,electronic material,,,,
materiał wybuchowy,   ***   ,explosive,,,,
materiał wykładzinowy,   ***   ,liner material,,,,
materiał łatwopalny,   ***   ,flammable product,,,,
materiałoznawstwo,   ***   ,materials science,,,,
mauzoleum,   ***   ,mausoleum,,,,
mały,   ***   ,short  small,,,,
mdłości,   ***   ,nausea,,,,
meble,   ***   ,furniture,,,,
mech,   ***   ,moss,,,,
meczet,   ***   ,mosque,,,,
megabajt,   ***   ,megabyte,,,,
meitner,   ***   ,meitnerium,,,,
melioracje,   ***   ,agricultural hydraulics,,,,
melodia,   ***   ,melody  tune,,,,
membrana,   ***   ,membrane,,,,
mendelew,   ***   ,mendelevium,,,,
menora,   ***   ,menorah,,,,
metabolit,   ***   ,metabolite,,,,
metabolizm,   ***   ,metabolism,,,,
metadane,   ***   ,metainformation,,,,
metafizyka,   ***   ,metaphysics,,,,
metafora,   ***   ,metaphor,,,,
metal,   ***   ,metal,,,,
metalurgia,   ***   ,metallurgy,,,,
metan,   ***   ,methane  marsh gas  methyl hydride,,,,
metanizacja,   ***   ,methanisation,,,,
meteor,   ***   ,meteor  meteor  meteor  meteormeteor  meteor  meteor  meteor  meteor  shooting star  falling sar,,,,
meteorologia,   ***   ,meteorology,,,,
meteoryt,   ***   ,meteorite,,,,
metoda,   ***   ,method,,,,
metodologia,   ***   ,methodology,,,,
metro,   ***   ,underground railway,,,,
metrologia,   ***   ,metrology,,,,
metronom,   ***   ,metronome,,,,
metropolia,   ***   ,metropolis,,,,
mewa,   ***   ,gull,,,,
mgiełka,   ***   ,mist,,,,
mgła,   ***   ,fog,,,,
miarodajny,   ***   ,authoritative,,,,
miasto,   ***   ,city,,,,
miecz,   ***   ,sword,,,,
miedź,   ***   ,copper,,,,
miejsce,   ***   ,place  location,,,,
mierzenie,   ***   ,measuring,,,,
miesiąc,   ***   ,month,,,,
mieszanie,   ***   ,mixing,,,,
mieszany,   ***   ,assorted,,,,
mieszkanie,   ***   ,dwelling,,,,
mieszkaniec,   ***   ,inhabitant,,,,
migdał,   ***   ,almond,,,,
mikoryza,   ***   ,mycorrhiza,,,,
mikrobiologia,   ***   ,microbiology,,,,
mikroekosystem,   ***   ,microecosystem,,,,
mikroelektronika,   ***   ,microelectronics  microminiaturization  microsystem electronics,,,,
mikrofale,   ***   ,microwave,,,,
mikrofiltracja,   ***   ,microfiltration,,,,
mikrofon,   ***   ,microphone,,,,
mikroklimat,   ***   ,microclimate,,,,
mikroklimatologia,   ***   ,microclimatology,,,,
mikrokomputer,   ***   ,microcomputer,,,,
miksja,   ***   ,overturn (limnology),,,,
mineralizacja,   ***   ,mineralisation,,,,
mineralogia,   ***   ,mineralogy,,,,
minerał,   ***   ,mineral,,,,
minerał metaliczny,   ***   ,metallic mineral,,,,
minerał niemetaliczny,   ***   ,non,metallic mineral,,,
ministerstwo,   ***   ,ministry,,,,
mit,   ***   ,myth,,,,
mitoza,   ***   ,mitosis,,,,
miód,   ***   ,honey,,,,
mięczak,   ***   ,mollusc,,,,
mięso,   ***   ,meat,,,,
miłość,   ***   ,love,,,,
mlecz,   ***   ,dandelion,,,,
mleko,   ***   ,milk,,,,
mniejszość narodowa,   ***   ,minority,,,,
moc,   ***   ,power (physics)  power,,,,
mocz,   ***   ,urynaurine,,,,
model,   ***   ,model,,,,
modelowanie,   ***   ,modelling,,,,
modelowanie,   ***   ,mathematical method,,,,
molibden,   ***   ,molybdenum,,,,
moneta,   ***   ,coin  money,,,,
monitoring,   ***   ,monitoring,,,,
monitoring środowiska,   ***   ,environmental monitoring,,,,
monitoring środowiskowy,   ***   ,biological monitoring,,,,
monopol,   ***   ,monopoly,,,,
morela,   ***   ,apricot,,,,
morfina,   ***   ,morphine,,,,
morfologia,   ***   ,morphology,,,,
mors,   ***   ,walrus,,,,
morze,   ***   ,sea,,,,
most,   ***   ,bridge,,,,
motet,   ***   ,motet,,,,
motocykl,   ***   ,motorcycle  motorbike,,,,
motyl,   ***   ,butterfly,,,,
motyle,   ***   ,lepidopteran,,,,
mrówka,   ***   ,ant,,,,
mszaki,   ***   ,bryophyte,,,,
muchówki,   ***   ,dipteran,,,,
murarstwo,   ***   ,masonry,,,,
murarz,   ***   ,mason  bricklayer  stonemason,,,,
musical,   ***   ,musical,,,,
mutacja,   ***   ,mutation,,,,
mutagen,   ***   ,mutagen,,,,
mutageniczność,   ***   ,mutagenicity,,,,
mutant,   ***   ,mutant,,,,
muzeum,   ***   ,museum,,,,
muzyk,   ***   ,musician,,,,
muzyka,   ***   ,music,,,,
muł,   ***   ,mud,,,,
muł,   ***   ,silt,,,,
muł,   ***   ,mule,,,,
my,   ***   ,nosotros  we,,,,
mydło,   ***   ,soap,,,,
mykologia,   ***   ,mycology,,,,
mysz,   ***   ,mouse,,,,
mąż,   ***   ,husband  spouse,,,,
mętność,   ***   ,turbidity,,,,
mężczyzna,   ***   ,male  man,,,,
młodzi,   ***   ,young,,,,
młyn,   ***   ,mill,,,,
nabycie,   ***   ,acquisition,,,,
nabywanie,   ***   ,buy  purchase,,,,
nacjonalizacja,   ***   ,nationalisation,,,,
naczelne,   ***   ,primate,,,,
nadir,   ***   ,nadir,,,,
nadkład,   ***   ,overburden,,,,
nadzieja,   ***   ,hope,,,,
nagozalążkowe,   ***   ,gymnosperm,,,,
namorzyn,   ***   ,mangrove,,,,
napastnik,   ***   ,aggressor  assailant  attacker  assaulter,,,,
napełniony,   ***   ,full,,,,
napięcie,   ***   ,voltage,,,,
napowietrzanie,   ***   ,aeration,,,,
napowietrzanie,   ***   ,water aeration,,,,
napromieniowanie żywności,   ***   ,food irradiation,,,,
napój,   ***   ,beverage  drink,,,,
narciarstwo,   ***   ,skiing,,,,
narodziny,   ***   ,birth  birth  birth  childbirth  childbirth  childbirth  parturition,,,,
nasienie,   ***   ,seed,,,,
nasiona,   ***   ,seed,,,,
nasiąkanie,   ***   ,soaking,,,,
natlenianie,   ***   ,oxygenation,,,,
nauczanie,   ***   ,teaching,,,,
nauczyciel,   ***   ,teacher,,,,
nauka,   ***   ,science,,,,
nauki ścisłe,   ***   ,exact science,,,,
naukowiec,   ***   ,scientist,,,,
nawadnianie,   ***   ,irrigation,,,,
nawigacja,   ***   ,navigation,,,,
nawóz,   ***   ,fertiliser,,,,
naświetlanie,   ***   ,irradiation,,,,
naświetlenie,   ***   ,exposure,,,,
neapolitański,   ***   ,Neapolitan  Neapolitan,,,,
neodym,   ***   ,neodymium,,,,
neologizm,   ***   ,neologism,,,,
neon,   ***   ,neon,,,,
nepalski,   ***   ,Nepali  Nepali,,,,
nepotyzm,   ***   ,nepotism,,,,
neptunio,   ***   ,neptunium,,,,
nerka,   ***   ,kidney,,,,
neurologia,   ***   ,neurology,,,,
neurotoksyczność,   ***   ,neurotoxicity,,,,
nic,   ***   ,nothing,,,,
nicienie,   ***   ,nematode,,,,
niderlandzki,   ***   ,Dutch,,,,
nie,   ***   ,not,,,,
niebieski,   ***   ,blue,,,,
niedożywienie,   ***   ,malnutrition,,,,
niedziela,   ***   ,Sunday,,,,
niedźwiedź,   ***   ,ursid,,,,
niedźwiedź polarny,   ***   ,polar bear,,,,
niemetal,   ***   ,non,metal,,,
niemiecki,   ***   ,German,,,,
niemiecki (Austria),   ***   ,German (Austria),,,,
niemiecki (Szwajcaria),   ***   ,German (Switzerland),,,,
niemowlę,   ***   ,infant,,,,
nienawiść,   ***   ,hate  hatred,,,,
nieodwracalność zjawiska,   ***   ,irreversibility of the phenomenon,,,,
niepełnoletni,   ***   ,minor,,,,
niepodległość,   ***   ,independence,,,,
nieruchomość rolna,   ***   ,agricultural real estate,,,,
nierówność środowiskowa,   ***   ,ecological inequality,,,,
nietoperz,   ***   ,chiropteran,,,,
nieudany,   ***   ,abortive,,,,
niewidomy,   ***   ,blind,,,,
nikiel,   ***   ,nickel,,,,
niob,   ***   ,niobium,,,,
nitrozamina,   ***   ,nitrosamine,,,,
nitrozwiązki,   ***   ,nitro compound,,,,
nitryfikacja,   ***   ,nitrification,,,,
nobel,   ***   ,nobelium,,,,
noga,   ***   ,leg,,,,
nomenklatura,   ***   ,nomenclature,,,,
norma,   ***   ,standard,,,,
norma,   ***   ,norm,,,,
norweski,   ***   ,Norwegian,,,,
nosorożec,   ***   ,rhino  rhinoceros,,,,
novial,   ***   ,Novial,,,,
nowatorstwo,   ***   ,innovation,,,,
nowy,   ***   ,new  novel,,,,
nozdrze,   ***   ,nostril,,,,
nuta,   ***   ,note,,,,
nóż,   ***   ,knife,,,,
obciążyć,   ***   ,debit,,,,
obfitość ekologiczna,   ***   ,ecological abundance,,,,
obiad,   ***   ,lunch  lunch  lunch  lunch  luncheon,,,,
obliczanie,   ***   ,calculation,,,,
obrona,   ***   ,defence,,,,
obserwatorium,   ***   ,observatory,,,,
obszar śródziemnomorski,   ***   ,Mediterranean Area,,,,
obwód łowiecki,   ***   ,controlled hunting zone,,,,
obywatel,   ***   ,citizen,,,,
obywatelstwo środowiskowe,   ***   ,environmental citizenship,,,,
obóz,   ***   ,camp  military camp  army camp  campsite,,,,
ocean,   ***   ,ocean  sea  body of water  bounding main,,,,
oceanografia,   ***   ,oceanography,,,,
ocena,   ***   ,appraisal,,,,
ocena,   ***   ,evaluation,,,,
ocena środowiska,   ***   ,environmental assessment,,,,
ocet,   ***   ,vinegar,,,,
ochrona,   ***   ,conservation,,,,
ochrona,   ***   ,protective measure,,,,
ochrona środowiska,   ***   ,environmental conservation,,,,
ochrona środowiska,   ***   ,environmental protection,,,,
oczyszczalnia,   ***   ,purification plant,,,,
oczyszczanie,   ***   ,purification,,,,
oczyszczanie ścieków,   ***   ,waste water purification,,,,
odbicie,   ***   ,reflection,,,,
odchlorowanie,   ***   ,dechlorination,,,,
oddychanie,   ***   ,respiration,,,,
oddziaływanie,   ***   ,effect,,,,
odkażanie,   ***   ,disinfection,,,,
odkażanie,   ***   ,decontamination,,,,
odkurzacz,   ***   ,vacuum cleaner,,,,
odkładanie (się),   ***   ,deposition,,,,
odpady,   ***   ,waste,,,,
odporność,   ***   ,immunity,,,,
odporność,   ***   ,resistance (biological)  resistance,,,,
odpowiedzialność,   ***   ,liability,,,,
odpowiedzialność osobista,   ***   ,personal responsibility,,,,
odpowiedzialność producenta,   ***   ,product liability,,,,
odpowiedzialność wytwórcy,   ***   ,producer liability,,,,
odpowiedzialność za środowisko,   ***   ,environmental liability,,,,
odprowadzający ścieki,   ***   ,indirect discharger,,,,
odsalanie,   ***   ,desalination,,,,
odsetki,   ***   ,interest,,,,
odsiarczanie,   ***   ,desulphurisation,,,,
odstraszanie,   ***   ,deterrence,,,,
odstrzał,   ***   ,hunting licence,,,,
odszkodowanie,   ***   ,compensation for damage,,,,
odszkodowanie,   ***   ,compensation,,,,
odszkodowanie,   ***   ,financial compensation,,,,
odszkodowanie,   ***   ,indemnity,,,,
odtruwanie,   ***   ,detoxification,,,,
odtłuszczanie,   ***   ,degreasing,,,,
odwirowywanie,   ***   ,centrifugation,,,,
odwracać,   ***   ,avert,,,,
odymianie,   ***   ,fumigation,,,,
ogień,   ***   ,fire,,,,
ogniwo,   ***   ,cell  electrochemical cell  energy cell  Galvanic cell  στοιχείο,,,,
ogrodnictwo,   ***   ,horticulture,,,,
ogrodnictwo,   ***   ,market gardening,,,,
ogrodnik,   ***   ,gardener,,,,
ogrzewanie,   ***   ,heating,,,,
ogród,   ***   ,garden,,,,
ogórek,   ***   ,cucumber,,,,
ogłoszenie,   ***   ,notice,,,,
ojciec,   ***   ,father,,,,
okno,   ***   ,window,,,,
oko,   ***   ,eye,,,,
okrakiem,   ***   ,astride,,,,
okrucieństwo,   ***   ,atrocity,,,,
okrytozalążkowe,   ***   ,angiosperm  flowering plant,,,,
okrzemki,   ***   ,diatom,,,,
oktawa,   ***   ,octave,,,,
okulistyka,   ***   ,ophthalmology,,,,
okólnik,   ***   ,circular mail,,,,
oligarchia,   ***   ,oligarchy,,,,
oligopol,   ***   ,oligopoly,,,,
oliwka,   ***   ,olive,,,,
om,   ***   ,ohm,,,,
omega,   ***   ,omega,,,,
on,   ***   ,he,,,,
onkologia,   ***   ,oncology,,,,
ontogeneza,   ***   ,ontogenesis  ontogenesis  ontogeny,,,,
ontologia,   ***   ,ontology,,,,
opakowanie,   ***   ,packaging,,,,
opary,   ***   ,fume,,,,
opera,   ***   ,opera,,,,
operetka,   ***   ,operetta,,,,
opiekować się,   ***   ,attend,,,,
opiekun,   ***   ,attendant,,,,
opinia,   ***   ,opinion  stance,,,,
opium,   ***   ,opium,,,,
opona,   ***   ,tyre,,,,
oprogramowanie,   ***   ,software,,,,
oprzyrządowanie,   ***   ,instrumentation,,,,
optyka,   ***   ,optics,,,,
optymizm,   ***   ,optimism  optimism  optimism  optimism  optimism  optimism  optimism,,,,
opłata,   ***   ,fee,,,,
orchidea,   ***   ,orchid,,,,
organ,   ***   ,organ,,,,
organellum,   ***   ,organelle,,,,
organizacja,   ***   ,organisation (law),,,,
organizm,   ***   ,organism,,,,
orkiestra,   ***   ,orchestra,,,,
ornitologia,   ***   ,ornithology,,,,
orografia,   ***   ,orography,,,,
ortografia,   ***   ,orthography,,,,
osa,   ***   ,wasp,,,,
osad,   ***   ,sediment,,,,
osadnictwo,   ***   ,human settlement,,,,
osady ściekowe,   ***   ,sludge,,,,
osiadanie,   ***   ,subsidence,,,,
osioł,   ***   ,donkey  ass,,,,
osiągnąć,   ***   ,attain,,,,
oskarżony,   ***   ,defendant  accused,,,,
osm,   ***   ,osmium,,,,
osmoza,   ***   ,osmosis,,,,
osoba,   ***   ,person,,,,
osobnik,   ***   ,individual,,,,
ostoja,   ***   ,refuge,,,,
ostra,   ***   ,oyster,,,,
ostrość słuchu,   ***   ,hearing acuity,,,,
osuszanie,   ***   ,drainage,,,,
osuwisko,   ***   ,landslide,,,,
oszczędność energii,   ***   ,energy saving,,,,
otyłość,   ***   ,obesity,,,,
owad,   ***   ,insect,,,,
owca,   ***   ,sheep,,,,
owca,   ***   ,ovine,,,,
owoc,   ***   ,fruit,,,,
oznaczanie,   ***   ,assay,,,,
oznakowanie,   ***   ,labelling,,,,
ozon,   ***   ,ozone,,,,
ozonowanie,   ***   ,ozonisation,,,,
ołów,   ***   ,lead,,,,
ołówek,   ***   ,pencil,,,,
oślepiać,   ***   ,dazzle,,,,
oświetlenie,   ***   ,lighting,,,,
pacha,   ***   ,armpit,,,,
pacyfista,   ***   ,pacifist,,,,
padaczka,   ***   ,epilepsy,,,,
pająk,   ***   ,spider,,,,
pajęczyna,   ***   ,web  spider web,,,,
pajęczyna,   ***   ,cobweb,,,,
palec,   ***   ,finger,,,,
palec,   ***   ,toe,,,,
palenie,   ***   ,smoking,,,,
paleoekologia,   ***   ,palaeoecology,,,,
paleontologia,   ***   ,palaeontology,,,,
palestra,   ***   ,legal profession,,,,
palindrom,   ***   ,palindrome,,,,
paliwa,   ***   ,fuel,,,,
pallad,   ***   ,palladium,,,,
palma,   ***   ,palm,,,,
palność,   ***   ,combustibility,,,,
paloeklimatologia,   ***   ,palaeoclimatology,,,,
pandemia,   ***   ,pandemic,,,,
pantofel,   ***   ,slipper,,,,
papier,   ***   ,paper,,,,
papieros,   ***   ,cigarette,,,,
papież,   ***   ,pope,,,,
paproć,   ***   ,fern,,,,
papuga,   ***   ,parrot,,,,
parabola,   ***   ,parabola,,,,
parametr,   ***   ,parameter,,,,
parazytologia,   ***   ,parasitology,,,,
parking,   ***   ,car park,,,,
parlament,   ***   ,Parliament,,,,
parowanie,   ***   ,evaporation,,,,
pasożyt,   ***   ,parasite,,,,
pasterz,   ***   ,shepherd,,,,
pastwisko,   ***   ,pasture,,,,
patent,   ***   ,patent,,,,
patogen,   ***   ,pathogen,,,,
patologia,   ***   ,pathology,,,,
pawian,   ***   ,baboon,,,,
pchła,   ***   ,flea,,,,
pedagogika,   ***   ,pedagogy,,,,
pediatra,   ***   ,paediatrician,,,,
pedosfera,   ***   ,pedosphere,,,,
pelargonia,   ***   ,geranium,,,,
perifiton,   ***   ,periphyton,,,,
perkusja,   ***   ,drum kit,,,,
perski,   ***   ,Persian  Western Farsi  Farsi,,,,
petycja,   ***   ,petition,,,,
phishing,   ***   ,phishing,,,,
piasek,   ***   ,sand,,,,
piec,   ***   ,stove,,,,
piekarnia,   ***   ,baker  bakery,,,,
piekarz,   ***   ,baker,,,,
pielucha,   ***   ,nappy,,,,
piemoncki,   ***   ,Piedmontese  Piedmontese  Piemontese  Piemontese,,,,
pierwiastek śladowy,   ***   ,trace element,,,,
pierwotniaki,   ***   ,protozoan,,,,
pierwszy,   ***   ,first,,,,
pierścienice,   ***   ,annelid,,,,
pies,   ***   ,dog,,,,
piksel,   ***   ,pixel,,,,
pilotowanie,   ***   ,pilotage,,,,
pingwin,   ***   ,penguin,,,,
piralen,   ***   ,pyralene,,,,
piroliza,   ***   ,pyrolysis,,,,
pisać,   ***   ,write,,,,
piwo,   ***   ,beer,,,,
piątek,   ***   ,Friday,,,,
pić,   ***   ,drink  gulp  quaff  sip,,,,
pięciochlorofenol,   ***   ,pentachlorophenol,,,,
pięć,   ***   ,five,,,,
plac,   ***   ,square,,,,
plan,   ***   ,plan,,,,
planeta,   ***   ,planet,,,,
planowanie,   ***   ,planning,,,,
planowanie środowiskowe,   ***   ,environmental planning,,,,
platyna,   ***   ,platinum,,,,
plon,   ***   ,yield,,,,
pluskwa,   ***   ,bug  põrnikas,,,,
pluton,   ***   ,pluton  plutonplutonium  plutonium  plutonium,,,,
pnącze,   ***   ,climbing plant (wall)  climbing plant,,,,
pocisk,   ***   ,bullet,,,,
pociąg,   ***   ,train,,,,
poczta,   ***   ,post office,,,,
podatek,   ***   ,tax,,,,
podatek,   ***   ,levy,,,,
podaż,   ***   ,supply,,,,
podbicie,   ***   ,instep,,,,
poddźwięk,   ***   ,infrasound,,,,
podpalacz,   ***   ,arsonist,,,,
podpalenie,   ***   ,arson,,,,
podróż,   ***   ,travel,,,,
podróż kosmiczna,   ***   ,space travel,,,,
podstawienie,   ***   ,replacement,,,,
podziękowanie,   ***   ,thank you,,,,
poganin,   ***   ,heathen  infidel  pagan,,,,
pogoda,   ***   ,weather,,,,
pogrzeb,   ***   ,funeral,,,,
pogłębianie,   ***   ,dredging,,,,
pojazd,   ***   ,vehicle,,,,
pojemność ekologiczna,   ***   ,ecological carrying capacity,,,,
pojęcie środowiska,   ***   ,concept of environment,,,,
pokój,   ***   ,peace,,,,
polder,   ***   ,polder,,,,
pole,   ***   ,field  land  land  acre  patch,,,,
polichlorodibenzo,   ***   ,p,dioksyna,polychlordibenzo,p,dioxin
policja,   ***   ,police,,,,
poligon,   ***   ,polygon,,,,
poligrafia,   ***   ,printing work,,,,
polimery,   ***   ,polymer,,,,
polimeryzacja,   ***   ,polymerisation,,,,
polityka,   ***   ,politics,,,,
polityka,   ***   ,policy,,,,
polityka środowiskowa,   ***   ,environmental policy,,,,
polon,   ***   ,polonium,,,,
polowanie,   ***   ,hunting,,,,
polski,   ***   ,Polish  Polish,,,,
pomarańcza,   ***   ,orange,,,,
pomidor,   ***   ,tomato,,,,
pomiędzy,   ***   ,between,,,,
pomniki,   ***   ,monument,,,,
pompa,   ***   ,pump,,,,
pompowanie,   ***   ,pumping,,,,
pomyślny,   ***   ,auspicious,,,,
poniedziałek,   ***   ,Monday,,,,
popielaty,   ***   ,ashen,,,,
popielniczka,   ***   ,ashtray,,,,
popiół,   ***   ,ash,,,,
populacja,   ***   ,population,,,,
porcelana,   ***   ,porcelain,,,,
porosty,   ***   ,lichen,,,,
porozumienie,   ***   ,agreement,,,,
port,   ***   ,harbour,,,,
portugalski,   ***   ,Portuguese  Portuguese,,,,
porównanie,   ***   ,comparison,,,,
posiadacz,   ***   ,owner,,,,
posiadanie,   ***   ,possession,,,,
postawczaki,   ***   ,basidiomycete,,,,
postrzeganie środowiska,   ***   ,environmental perception,,,,
potas,   ***   ,potassium,,,,
potencjał recyklingu,   ***   ,recycling potential,,,,
potomkowie,   ***   ,posterity,,,,
potrzeba,   ***   ,need,,,,
powiadomienie,   ***   ,notification,,,,
powiat,   ***   ,county,,,,
powiedzenie,   ***   ,proverb  saying  maxim,,,,
powiedzieć,   ***   ,say,,,,
powietrze,   ***   ,air,,,,
powieść,   ***   ,novel,,,,
powiększać,   ***   ,augment,,,,
powódź,   ***   ,flood,,,,
powłoka,   ***   ,coating,,,,
poza,   ***   ,attitude,,,,
poznawać,   ***   ,ascertain,,,,
pozwolenie,   ***   ,permission,,,,
pozyton,   ***   ,positron,,,,
połów,   ***   ,catch yield,,,,
poświęcenie,   ***   ,sacrifice,,,,
pożyteczny,   ***   ,useful,,,,
praca,   ***   ,labour,,,,
pracownia,   ***   ,desk study,,,,
pragmatyka,   ***   ,pragmatics,,,,
pragnienie,   ***   ,thirst,,,,
pranie,   ***   ,laundering,,,,
prasa,   ***   ,press,,,,
prawda,   ***   ,truth,,,,
prawie,   ***   ,almost,,,,
prawo,   ***   ,law,,,,
prawo,   ***   ,law  law (science),,,,
prawodawstwo,   ***   ,jurisprudence,,,,
praworządność,   ***   ,justice,,,,
prazeody,   ***   ,praseodymium,,,,
prałat,   ***   ,prelate,,,,
prezerwatywa,   ***   ,condom  prophylactic  rubber  safe  safety,,,,
prezydent,   ***   ,president,,,,
problem,   ***   ,problem,,,,
proces,   ***   ,case  lawsuit  trial,,,,
proces,   ***   ,litigation,,,,
produkcja żywności,   ***   ,food production (agriculture)  food production,,,,
produkcyjność,   ***   ,productivity,,,,
produkt,   ***   ,product,,,,
prognoza,   ***   ,forecast,,,,
program,   ***   ,programme,,,,
prohibicja,   ***   ,prohibition,,,,
projekt,   ***   ,project,,,,
projekt,   ***   ,design (project)  design  project design,,,,
prom,   ***   ,ferry,,,,
promet,   ***   ,promethium,,,,
promieniowanie,   ***   ,radiation  radiations,,,,
prostata,   ***   ,prostate,,,,
prostoskrzydłe,   ***   ,orthopteran,,,,
prostytucja,   ***   ,prostitution,,,,
protaktyn,   ***   ,protactinium,,,,
proteiny,   ***   ,protein  poly peptide,,,,
protokół,   ***   ,protocol,,,,
prowincja,   ***   ,province,,,,
prywatyzacja,   ***   ,privatisation,,,,
przebiegły,   ***   ,artful,,,,
przechowywanie żywności,   ***   ,food storage,,,,
przeciek,   ***   ,leakage,,,,
przeciwciała,   ***   ,antibody,,,,
przedmieście,   ***   ,suburb,,,,
przedsiębiorca,   ***   ,entrepreneur,,,,
przegląd środowiskowy,   ***   ,environmental auditing,,,,
przejęcie,   ***   ,takeover,,,,
przelew,   ***   ,overflow (outlet),,,,
przeludnienie,   ***   ,overpopulation,,,,
przemysł,   ***   ,industry,,,,
przemysł aluminiowy,   ***   ,aluminium industry,,,,
przemysł budowlany,   ***   ,building industry,,,,
przemysł celulozowy,   ***   ,cellulose industry,,,,
przemysł cementowy,   ***   ,cement industry,,,,
przemysł ceramiczny,   ***   ,ceramics industry,,,,
przemysł chemiczny,   ***   ,chemical industry,,,,
przemysł chroniący środowisko,   ***   ,environmental industry,,,,
przemysł chłodniczy,   ***   ,refrigeration industry,,,,
przemysł elektrotechniczny,   ***   ,electrical goods industry,,,,
przemysł elektrotechniczny,   ***   ,electrotechnical industry,,,,
przemysł energetyczny,   ***   ,electricity supply industry,,,,
przemysł energetyczny,   ***   ,energy industry,,,,
przemysł farmaceutyczny,   ***   ,pharmaceutical industry,,,,
przemysł górniczy,   ***   ,mining industry,,,,
przemysł hotelarski,   ***   ,hotel industry,,,,
przemysł informatyczny,   ***   ,information technology industry,,,,
przemysł komunikacyjny,   ***   ,communications industry,,,,
przemysł kosmetyczny,   ***   ,cosmetic industry,,,,
przemysł leśny,   ***   ,forest industry,,,,
przemysł meblowy,   ***   ,furniture industry,,,,
przemysł mechaniczny,   ***   ,mechanical industry,,,,
przemysł metalowy,   ***   ,metal products industry,,,,
przemysł metalurgiczny,   ***   ,metallurgical industry,,,,
przemysł mineralny,   ***   ,mineral industry,,,,
przemysł mleczarski,   ***   ,dairy industry,,,,
